deal_id,company_name,industry,lead_source,deal_value,stage,created_date,close_date,sales_rep,region,next_step,probability
DEAL-0382,Dugar PLC,E-Commerce,Referral,196753.32,Negotiation,11 Jun 2022,24/09/2022,Priya Nair,north,Pricing Discussion,70
DEAL-0236,Mahajan-Bhatia,FinTech,REFERRAL,21486.27,Closed Won,11 Mar 2022,07-23-2022,Aman Verma,west,,50
DEAL-0258,Chawla-Thakkar,IT Services,REFERRAL,215097.6,Proposal Sent,03-18-2023,2023-08-14,Karan Mehta,SOUTH,Stakeholder Meeting,30
DEAL-0339,Amble-Bedi,SaaS,Partner,138042.52,wonnn,07 Aug 2023,15 Oct 2023,Priya Nair,WEST,Pricing Discussion,80
DEAL-0320,Johal-Sodhi,Real Estate,Inbound,156846.31,lost,"November 18, 2022",12 Mar 2023,Sonal Joshi,North,Stakeholder Meeting,90
DEAL-0212,Bhatti-Chakrabarti,Healthcare,Partner,176594.3,Won,13/02/2023,2023-07-12,Aman Verma,NORTH,Pricing Discussion,90
DEAL-0368,Ahluwalia-Nadig,Healthcare,linkedin,,won,"September 29, 2023",2024-03-16,Arjun Pillai,South,Follow Up Call,40
DEAL-0177,"Nath, Bhasin and Kakar",IT Services,Website,121976.25,Discovery,15/06/2022,2022-07-24,Neha Gupta,SOUTH,Follow Up Call,10
DEAL-0336,Bhattacharyya and Sons,Retail,Event,174610.49,discovery,08-29-2022,2022-10-30,Deepak Rao,SOUTH,Schedule Demo,20
DEAL-0257,Sahota Group,Real Estate,Cold Email,64037.21,Closed Lost,"November 06, 2023",14 Mar 2024,Priya Nair,south,Send Proposal,60
DEAL-0315,Sabharwal Ltd,EdTech,Partner,136255.84,discovery,11 Aug 2022,15 Dec 2022,Neha Gupta,West,Pricing Discussion,60
DEAL-0166,Buch Ltd,FinTech,Cold Outreach,-25041.47,Proposal Sent,"July 02, 2022",08/12/2022,Deepak Rao,north,Follow Up Call,40
DEAL-0481,Chaudhry Group,E-Commerce,inbound,126351.77,Negotiation,2022-08-22,"September 24, 2022",Riya Sharma,west,Technical Eval,70
DEAL-0079,Hegde-Parikh,SaaS,Inbound,93818.33,Prospecting,2022-08-03,08 Nov 2022,Deepak Rao,west,Schedule Demo,40
DEAL-0376,"Nagar, Tailor and Kata",Real Estate,Website,142086.45,Closed Won,2022-05-16,14 Oct 2022,Priya Nair,west,Send Proposal,90
DEAL-0412,"Krishna, Chopra and Char",EdTech,REFERRAL,107483.67,Closed Lost,16 May 2023,11-04-2023,Neha Gupta,South,Stakeholder Meeting,30
DEAL-0444,Bumb-Gala,E-Commerce,cold outreach,159291.28,NEGOTIATION,"February 12, 2022",05-13-2022,Priya Nair,West,Pricing Discussion,60
DEAL-0617,Som Ltd,E-Commerce,linkedin,8010.58,qualified,21 Feb 2022,"July 13, 2022",Arjun Pillai,north,Pricing Discussion,30
DEAL-0241,Sura-Rai,EdTech,cold outreach,195135.59,closed won,2022-09-01,06/10/2022,Riya Sharma,East,Technical Eval,70
DEAL-0537,Raman-Jayaraman,SaaS,cold outreach,163983.25,NEGOTIATION,04/06/2023,07/11/2023,Sonal Joshi,North,Stakeholder Meeting,30
DEAL-0543,Behl Inc,Healthcare,linkedin,24094.99,Prospecting,15/12/2023,"January 07, 2024",Riya Sharma,East India,,50
DEAL-0337,"Sethi, Nadkarni and Sarin",Real Estate,LinkedIn,71418.29,prospecting,18/02/2023,,Priya Nair,NORTH,Pricing Discussion,50
DEAL-0291,"Kalla, Raval and Deep",Retail,Event,77322.11,QUALIFIED,"April 06, 2022",11/07/2022,Riya Sharma,WEST,,10
DEAL-0413,Dara PLC,Real Estate,LinkedIn,,Won,2022-09-15,10-18-2022,Arjun Pillai,South,Contract Review,100
DEAL-0630,Hari-Rana,IT Services,REFERRAL,219862.85,NEGOTIATION,20 Sep 2023,,Priya Nair,north,,50
DEAL-0330,"Bhakta, Jaggi and Nayar",E-Commerce,Inbound,161003.28,prospecting,24/03/2022,2022-07-28,Neha Gupta,WEST,,80
DEAL-0251,Bava LLC,Real Estate,LinkedIn,141183.41,NEGOTIATION,"September 06, 2022",12-22-2022,Riya Sharma,East India,Send Proposal,80
DEAL-0055,Zachariah and Sons,Real Estate,inbound,89615.79,Lost,20 Jul 2023,2023-12-30,Arjun Pillai,WEST,Stakeholder Meeting,20
DEAL-0465,"Chaudhry, Gola and Zacharia",EdTech,Website,108644.5,qualified,07 Dec 2022,,Aman Verma,North,,80
DEAL-0421,"Sule, Sharaf and Bali",Manufacturing,cold outreach,200076.61,prospecting,12-08-2022,,Sonal Joshi,South,Contract Review,90
DEAL-0134,Pandey-Dutta,SaaS,REFERRAL,,prospecting,2022-02-18,2022-07-19,Priya Nair,west,,10
DEAL-0387,Bhat-Bains,EdTech,Cold Outreach,211195.28,Proposal Sent,19/09/2023,02-18-2024,Arjun Pillai,East India,Contract Review,100
DEAL-0137,"Sachdev, Gokhale and Dhillon",Manufacturing,linkedin,57426.77,WON,05 Oct 2023,15 Mar 2024,Karan Mehta,East India,Schedule Demo,80
DEAL-0110,"Doctor, Oza and Choudhry",IT Services,Cold Email,51742.16,discovery,2022-11-19,,Sonal Joshi,NORTH,,50
DEAL-0363,Mitter-Madan,Retail,LinkedIn,42797.84,Proposal Sent,14 Apr 2023,"May 21, 2023",Aman Verma,West,Follow Up Call,10
DEAL-0236,Mahajan-Bhatia,FinTech,REFERRAL,21486.27,Closed Won,11 Mar 2022,07-23-2022,Aman Verma,west,,50
DEAL-0213,"Purohit, Savant and Dutta",Real Estate,REFERRAL,19762.63,negotiation,"November 19, 2023",2024-02-19,Karan Mehta,SOUTH,Contract Review,60
DEAL-0345,Chaudhary-Basu,IT Services,Website,143840.5,QUALIFIED,03-25-2022,"May 18, 2022",Riya Sharma,North,,50
DEAL-0245,Dora-Peri,Retail,Cold Email,205503.71,Qualified,"August 08, 2022",2022-09-01,Deepak Rao,SOUTH,Contract Review,100
DEAL-0133,Kamdar-Bir,Real Estate,linkedin,40886.65,Closed Lost,04/04/2022,"May 24, 2022",Arjun Pillai,west,,90
DEAL-0250,Soman-Oza,Healthcare,inbound,47907.63,Negotiation,2023-04-30,30 May 2023,Deepak Rao,South,Technical Eval,20
DEAL-0073,Edwin-Loke,Logistics,Event,169767.55,Closed Lost,2023-04-10,08-13-2023,Priya Nair,East India,Send Proposal,30
DEAL-0357,"Muni, Karan and Deshmukh",Healthcare,Event,140494.24,won,29/09/2022,20 Oct 2022,Sonal Joshi,South,Pricing Discussion,30
DEAL-0584,Swaminathan and Sons,Real Estate,Cold Email,179594.12,PROPOSAL SENT,29/08/2022,2022-12-09,Karan Mehta,East,Schedule Demo,60
DEAL-0646,Bhavsar and Sons,SaaS,Partner,107854.88,Discovery,09 Oct 2022,2022-10-25,Arjun Pillai,North,Follow Up Call,40
DEAL-0592,Merchant Inc,Logistics,linkedin,191989.91,proposal sent,"September 08, 2022",10-05-2022,Aman Verma,West,,10
DEAL-0138,Bora Group,FinTech,Website,71427.52,LOST,13 Jun 2022,01 Jul 2022,Neha Gupta,East India,,90
DEAL-0528,"Wadhwa, Banik and Gandhi",Healthcare,Cold Email,209992.03,Closed Lost,18/03/2023,03 Sep 2023,Deepak Rao,west,,60
DEAL-0077,Om Inc,E-Commerce,LinkedIn,16084.39,Won,01-15-2023,12/03/2023,Aman Verma,West,Stakeholder Meeting,40
DEAL-0483,Deep PLC,EdTech,Website,138061.01,WON,25/01/2022,02/07/2022,Priya Nair,NORTH,Pricing Discussion,20
DEAL-0278,Dhillon PLC,EdTech,Inbound,177423.3,lost,09 Mar 2023,23 Apr 2023,Arjun Pillai,WEST,,70
DEAL-0091,Kuruvilla Inc,E-Commerce,Partner,41490.46,QUALIFIED,"June 17, 2022","September 29, 2022",Priya Nair,SOUTH,Contract Review,30
DEAL-0479,"Nazareth, Edwin and Ravi",Retail,Inbound,75724.23,Qualified,25 Dec 2022,,Aman Verma,north,Stakeholder Meeting,60
DEAL-0011,Rege-Barad,IT Services,linkedin,176553.72,Discovery,31 Mar 2022,15 Apr 2022,Sonal Joshi,South,Technical Eval,100
DEAL-0064,Goel PLC,Healthcare,Website,181676.47,Lost,16/02/2022,"June 23, 2022",Priya Nair,North,Follow Up Call,10
DEAL-0457,Subramanian LLC,SaaS,Website,-32576.75,negotiation,09-28-2023,,Priya Nair,south,Send Proposal,100
DEAL-0550,Cherian Inc,E-Commerce,inbound,30284.38,Closed Won,"January 24, 2023",12/03/2023,Deepak Rao,west,Follow Up Call,30
DEAL-0581,Srinivas-Raju,Logistics,Inbound,8379.39,Closed Won,27 Sep 2023,"December 07, 2023",Riya Sharma,south,Pricing Discussion,20
DEAL-0530,"Subramanian, Randhawa and Balasubramanian",FinTech,Event,43705.96,WON,11-12-2023,"December 03, 2023",Priya Nair,West,,30
DEAL-0578,Balasubramanian Group,Manufacturing,Inbound,138857.27,won,"June 12, 2023",11-16-2023,Aman Verma,NORTH,Schedule Demo,50
DEAL-0032,"Rajan, Vala and Narayan",Retail,Cold Outreach,132129.96,Negotiation,07/01/2022,"May 04, 2022",Priya Nair,south,,20
DEAL-0221,Atwal-Koshy,Healthcare,REFERRAL,,Proposal Sent,19 Aug 2022,02/01/2023,Neha Gupta,NORTH,Technical Eval,60
DEAL-0504,Sidhu-Pai,FinTech,inbound,-12870.34,QUALIFIED,2022-02-09,"July 23, 2022",Sonal Joshi,West,Contract Review,40
DEAL-0078,"Sem, Devi and Bail",Real Estate,Partner,,closed won,30 Dec 2022,04-09-2023,Neha Gupta,West,Schedule Demo,30
DEAL-0370,Chadha-Gill,Healthcare,Cold Outreach,30306.77,Closed Won,"April 13, 2022",2022-07-29,Karan Mehta,WEST,Follow Up Call,100
DEAL-0575,Radhakrishnan and Sons,Real Estate,Referral,7956.42,Discovery,06/11/2023,,Deepak Rao,South,Stakeholder Meeting,100
DEAL-0211,"Edwin, Chaudry and Vora",Manufacturing,Partner,22892.23,closed won,16 Nov 2022,"February 22, 2023",Deepak Rao,East India,,20
DEAL-0056,Lall Inc,Manufacturing,LinkedIn,191362.92,negotiation,2022-10-28,03-31-2023,Priya Nair,South,,40
DEAL-0136,Nanda LLC,E-Commerce,linkedin,165713.15,prospecting,06/06/2022,,Neha Gupta,north,,60
DEAL-0312,Bhardwaj Inc,Manufacturing,LinkedIn,,NEGOTIATION,2022-06-08,"October 22, 2022",Riya Sharma,East,Schedule Demo,30
DEAL-0228,Bose and Sons,EdTech,Partner,181178.02,wonnn,08-26-2023,18 Dec 2023,Sonal Joshi,West,Schedule Demo,90
DEAL-0003,Singhal-Datta,Retail,Referral,38253.46,QUALIFIED,2022-01-26,05/04/2022,Neha Gupta,NORTH,Schedule Demo,80
DEAL-0632,Pradhan Group,SaaS,cold outreach,26164.45,Proposal Sent,2023-03-13,02 May 2023,Aman Verma,north,Schedule Demo,60
DEAL-0082,"Prabhu, Aggarwal and Halder",Real Estate,inbound,157694.19,PROPOSAL SENT,2023-12-20,10/05/2024,Neha Gupta,East India,Schedule Demo,20
DEAL-0381,"Mody, Mital and Dey",Real Estate,Partner,913942.81,negotiation,"October 19, 2022",01-17-2023,Priya Nair,South,Follow Up Call,10
DEAL-0368,Ahluwalia-Nadig,Healthcare,linkedin,,won,"September 29, 2023",2024-03-16,Arjun Pillai,South,Follow Up Call,40
DEAL-0347,Kakar-Toor,FinTech,linkedin,99042.32,Negotiation,05/11/2023,"December 18, 2023",Aman Verma,North,Technical Eval,80
DEAL-0648,Iyengar-Gour,Manufacturing,Referral,919737.91,Prospecting,21/03/2022,"August 21, 2022",Priya Nair,West,Pricing Discussion,20
DEAL-0121,"Vaidya, Nanda and Chowdhury",SaaS,cold outreach,171782.74,Won,29 Jul 2023,08-29-2023,Neha Gupta,SOUTH,,70
DEAL-0597,Johal-Patel,Real Estate,Referral,-19691.31,WON,"March 01, 2023",2023-08-22,Aman Verma,south,Contract Review,10
DEAL-0248,"Sharaf, Dube and Sarin",EdTech,LinkedIn,72412.71,prospecting,08-08-2023,"January 09, 2024",Riya Sharma,WEST,Technical Eval,40
DEAL-0560,Madan-Trivedi,Manufacturing,linkedin,39303.22,Won,10-21-2022,04-15-2023,Karan Mehta,East,Schedule Demo,60
DEAL-0280,Sahota Ltd,Logistics,linkedin,74349.5,Closed Won,10-13-2022,10 Jan 2023,Neha Gupta,West,Follow Up Call,90
DEAL-0622,"Basu, Gopal and Ramesh",Retail,Referral,179935.1,Prospecting,"May 17, 2022",,Arjun Pillai,west,,50
DEAL-0132,"Andra, Ramachandran and Goswami",Real Estate,cold outreach,89558.0,closed won,2023-05-21,"August 06, 2023",Riya Sharma,West,Stakeholder Meeting,40
DEAL-0303,Narang-Gera,IT Services,Referral,,Negotiation,2023-02-04,14 Jun 2023,Sonal Joshi,WEST,Follow Up Call,60
DEAL-0061,Dara LLC,Real Estate,Partner,216720.14,proposal sent,16/07/2022,"November 28, 2022",Deepak Rao,west,,50
DEAL-0149,"Srinivasan, Murty and Mohanty",Manufacturing,cold outreach,190198.21,wonnn,07-21-2023,17/10/2023,Riya Sharma,North,Technical Eval,100
DEAL-0031,"Panchal, Ramesh and Sura",Healthcare,Cold Outreach,60240.22,Discovery,"October 12, 2022",01-27-2023,Karan Mehta,East,Pricing Discussion,30
DEAL-0070,"Bhattacharyya, Rajagopalan and Halder",FinTech,Inbound,147919.31,LOST,14 Apr 2022,"September 22, 2022",Arjun Pillai,North,Contract Review,20
DEAL-0498,Dua Ltd,Manufacturing,Cold Outreach,144668.21,Discovery,"January 29, 2022","February 21, 2022",Arjun Pillai,West,Send Proposal,30
DEAL-0224,"Shroff, Pai and Kala",E-Commerce,Inbound,-854.08,prospecting,2022-01-22,2022-02-26,Arjun Pillai,West,Schedule Demo,70
DEAL-0045,"Aggarwal, Chauhan and Char",IT Services,Partner,156436.56,lost,2023-01-03,02-24-2023,Priya Nair,north,,50
DEAL-0531,Lad-Kota,E-Commerce,Partner,248000.37,prospecting,12-05-2022,"February 13, 2023",Neha Gupta,north,Technical Eval,50
DEAL-0071,Rajagopalan Inc,Manufacturing,inbound,,won,01-25-2023,"April 07, 2023",Priya Nair,South,,80
DEAL-0183,Thakkar-Din,EdTech,Cold Email,168607.6,negotiation,"May 16, 2023",2023-09-30,Priya Nair,west,Schedule Demo,40
DEAL-0165,Jayaraman and Sons,FinTech,Cold Outreach,222868.69,Closed Lost,28 May 2023,17/08/2023,Aman Verma,SOUTH,Send Proposal,10
DEAL-0514,Seshadri-Narang,EdTech,REFERRAL,188701.58,negotiation,01-30-2023,,Karan Mehta,NORTH,Follow Up Call,80
DEAL-0474,"Cheema, Bedi and Choudhry",SaaS,Inbound,105237.92,QUALIFIED,09 Feb 2022,07 May 2022,Aman Verma,NORTH,Send Proposal,20
DEAL-0479,"Nazareth, Edwin and Ravi",Retail,Inbound,75724.23,Qualified,25 Dec 2022,,Aman Verma,north,Stakeholder Meeting,60
DEAL-0502,Ganguly-Raja,Real Estate,Inbound,131031.67,won,18 Aug 2023,"November 08, 2023",Arjun Pillai,South,Technical Eval,30
DEAL-0324,"Mittal, Saran and Ramachandran",Healthcare,Partner,175822.9,wonnn,05-04-2023,07-13-2023,Arjun Pillai,NORTH,,40
DEAL-0249,Chaudhary PLC,Retail,cold outreach,149958.44,negotiation,14 Aug 2023,09/10/2023,Sonal Joshi,WEST,Stakeholder Meeting,100
DEAL-0319,Narang-Rastogi,IT Services,Cold Outreach,133474.42,Qualified,04/03/2022,,Deepak Rao,WEST,Contract Review,90
DEAL-0066,"Behl, Bakshi and Srivastava",Logistics,cold outreach,119369.7,NEGOTIATION,22 Aug 2022,01-12-2023,Priya Nair,East India,Schedule Demo,80
DEAL-0389,Chatterjee-Agarwal,Healthcare,Cold Outreach,110500.97,Negotiation,"June 26, 2023",26 Nov 2023,Karan Mehta,South,Technical Eval,80
DEAL-0050,Mander-Reddy,Healthcare,cold outreach,116118.31,closed won,04-16-2023,31/07/2023,Deepak Rao,North,Stakeholder Meeting,100
DEAL-0119,"Mistry, Sule and Bassi",Retail,Event,135616.13,Closed Won,"May 23, 2022",15 Jun 2022,Neha Gupta,North,Schedule Demo,50
DEAL-0265,"Rai, Wali and Bassi",Manufacturing,Website,95913.99,Negotiation,2023-11-01,,Neha Gupta,north,Contract Review,40
DEAL-0040,"Bassi, Bail and Dutta",FinTech,REFERRAL,231362.78,NEGOTIATION,12-11-2022,26/12/2022,Arjun Pillai,SOUTH,,60
DEAL-0623,Gill Inc,Real Estate,Inbound,60006.25,WON,"April 21, 2023",15/07/2023,Arjun Pillai,South,Contract Review,90
DEAL-0193,"Bali, Lala and Bhattacharyya",Real Estate,cold outreach,201488.77,Negotiation,"March 29, 2022","May 07, 2022",Priya Nair,WEST,,100
DEAL-0007,Gade PLC,Real Estate,Website,246710.79,LOST,23 May 2022,09-16-2022,Priya Nair,North,Technical Eval,90
DEAL-0102,Chacko-Chahal,FinTech,REFERRAL,151242.86,qualified,2022-08-23,09-27-2022,Neha Gupta,East India,Send Proposal,80
DEAL-0156,"Lad, Pau and Bhatti",Manufacturing,Cold Email,233811.04,Discovery,"October 19, 2023",,Priya Nair,west,Send Proposal,60
DEAL-0453,Trivedi-Rao,Manufacturing,cold outreach,32918.97,NEGOTIATION,16/04/2022,06 Aug 2022,Riya Sharma,East,Technical Eval,30
DEAL-0232,Kale-Balan,IT Services,Referral,192545.03,Proposal Sent,26/12/2023,15/04/2024,Aman Verma,North,Contract Review,100
DEAL-0200,Venkataraman LLC,Retail,Partner,136481.74,Closed Lost,02/05/2023,2023-06-18,Aman Verma,NORTH,,100
DEAL-0529,"Modi, Zacharia and Kant",Logistics,Referral,,wonnn,13 Mar 2022,05-04-2022,Neha Gupta,West,,60
DEAL-0146,"Guha, Jaggi and Sankar",Logistics,Cold Outreach,244588.12,Lost,2023-04-25,06-12-2023,Karan Mehta,SOUTH,Follow Up Call,30
DEAL-0351,"Ben, Ben and Doctor",E-Commerce,LinkedIn,,discovery,"November 20, 2022","December 13, 2022",Arjun Pillai,north,,80
DEAL-0482,Ram-Deshpande,Manufacturing,inbound,145314.94,proposal sent,17 Aug 2022,01-03-2023,Aman Verma,south,Contract Review,100
DEAL-0214,Saxena-Bhatia,Manufacturing,linkedin,246603.63,discovery,2023-10-28,"January 07, 2024",Sonal Joshi,West,Send Proposal,20
DEAL-0085,"Subramanian, Reddy and Iyer",IT Services,REFERRAL,246762.98,Won,03-15-2022,05-25-2022,Riya Sharma,SOUTH,,50
DEAL-0496,Buch Ltd,Retail,Event,155957.04,LOST,07-04-2023,2023-10-21,Aman Verma,SOUTH,Send Proposal,90
DEAL-0087,Sawhney Inc,Logistics,Cold Outreach,1403694.43,Lost,10-13-2023,02-14-2024,Aman Verma,North,Send Proposal,10
DEAL-0358,Sule Group,SaaS,REFERRAL,50505.77,negotiation,"February 10, 2023","August 07, 2023",Aman Verma,west,Schedule Demo,60
DEAL-0297,"Bala, Narain and Sampath",Retail,cold outreach,117903.1,QUALIFIED,"August 07, 2022","November 26, 2022",Aman Verma,north,Technical Eval,30
DEAL-0438,Kohli-Sekhon,Retail,Inbound,10533.35,Closed Lost,2023-01-14,09/06/2023,Sonal Joshi,WEST,Contract Review,20
DEAL-0042,"Basu, Gera and Raman",SaaS,Partner,24899.6,QUALIFIED,04-05-2022,2022-05-14,Deepak Rao,East India,Schedule Demo,80
DEAL-0109,"Dua, Dara and Nigam",Real Estate,Partner,145279.72,Proposal Sent,2023-08-04,17/12/2023,Sonal Joshi,East,Technical Eval,30
DEAL-0645,"Grover, Nanda and Atwal",Real Estate,Partner,55272.62,Lost,02/09/2022,"November 14, 2022",Sonal Joshi,WEST,,80
DEAL-0057,"Munshi, Narayan and Kashyap",E-Commerce,Website,31015.06,Qualified,06 Oct 2023,12 Jan 2024,Riya Sharma,WEST,Technical Eval,60
DEAL-0300,Chaudhary-Iyer,Logistics,Cold Email,222894.31,Closed Lost,18/06/2022,2022-09-03,Neha Gupta,West,Contract Review,20
DEAL-0512,Sood Ltd,FinTech,Referral,23501.49,Negotiation,08 Jun 2023,"September 10, 2023",Priya Nair,south,Technical Eval,50
DEAL-0025,Behl and Sons,IT Services,linkedin,-8961.84,prospecting,2023-12-20,,Neha Gupta,East India,,40
DEAL-0159,"Sane, Kibe and Kuruvilla",E-Commerce,inbound,188505.78,Discovery,28/10/2022,,Sonal Joshi,West,,30
DEAL-0522,"Sane, Kashyap and Kuruvilla",E-Commerce,Inbound,207087.67,QUALIFIED,06-17-2023,12 Nov 2023,Arjun Pillai,West,Contract Review,100
DEAL-0345,Chaudhary-Basu,IT Services,Website,143840.5,QUALIFIED,03-25-2022,"May 18, 2022",Riya Sharma,North,,50
DEAL-0111,"Anne, Yadav and Bedi",Manufacturing,Cold Outreach,107601.17,discovery,08-06-2022,,Arjun Pillai,SOUTH,Stakeholder Meeting,50
DEAL-0083,"Anne, Cheema and Kuruvilla",Manufacturing,inbound,36522.53,Negotiation,2023-12-01,2024-01-01,Karan Mehta,west,Send Proposal,100
DEAL-0052,Chandra Inc,Retail,REFERRAL,118788.33,qualified,05-08-2022,,Riya Sharma,WEST,Send Proposal,40
DEAL-0219,Mallick LLC,Logistics,REFERRAL,114891.6,proposal sent,04/05/2022,30/10/2022,Riya Sharma,south,,60
DEAL-0558,Kannan-Mitter,Retail,Partner,155938.62,LOST,2022-01-01,18 Jan 2022,Priya Nair,West,Pricing Discussion,70
DEAL-0450,"Goda, Chana and Bali",SaaS,Cold Email,200021.97,Closed Won,2023-11-30,03-11-2024,Karan Mehta,west,Send Proposal,100
DEAL-0637,Chopra-Dey,SaaS,Cold Outreach,195092.06,NEGOTIATION,06 Apr 2023,2023-07-18,Sonal Joshi,north,Follow Up Call,80
DEAL-0327,Nori-Dua,E-Commerce,LinkedIn,164224.14,won,11/06/2022,03/12/2022,Neha Gupta,north,Contract Review,70
DEAL-0538,Wable Group,SaaS,Referral,,QUALIFIED,"November 13, 2022","March 21, 2023",Neha Gupta,south,Follow Up Call,100
DEAL-0019,"De, Jani and Kota",FinTech,Website,180648.73,NEGOTIATION,"June 02, 2023",19 Jun 2023,Deepak Rao,south,Schedule Demo,60
DEAL-0295,Roy-Pall,IT Services,Website,192023.35,closed won,13 May 2023,09-01-2023,Priya Nair,west,Pricing Discussion,20
DEAL-0437,Mital Group,FinTech,LinkedIn,,Closed Won,"February 06, 2022",01/04/2022,Karan Mehta,WEST,,100
DEAL-0638,Rai-Wable,Logistics,Cold Email,138907.01,Negotiation,"September 23, 2022",25/02/2023,Riya Sharma,north,Pricing Discussion,20
DEAL-0614,Chauhan-Zachariah,E-Commerce,Inbound,170159.51,Qualified,14 Dec 2023,"March 31, 2024",Arjun Pillai,East,Technical Eval,50
DEAL-0062,"Hayre, Sangha and Jhaveri",E-Commerce,Cold Email,240858.03,discovery,23 Dec 2023,,Aman Verma,East India,Technical Eval,50
DEAL-0513,Naidu LLC,E-Commerce,Cold Outreach,193376.64,Closed Lost,"April 29, 2022",20 Sep 2022,Neha Gupta,west,Stakeholder Meeting,60
DEAL-0399,Gandhi-Chana,SaaS,cold outreach,53951.01,Discovery,20 Apr 2022,"September 19, 2022",Sonal Joshi,North,Contract Review,30
DEAL-0030,"Suresh, Mistry and Bhagat",FinTech,Referral,44681.91,LOST,27 Aug 2023,2023-12-01,Sonal Joshi,north,Pricing Discussion,20
DEAL-0182,Sen PLC,Manufacturing,Cold Outreach,93090.26,Prospecting,28 Nov 2022,"March 10, 2023",Neha Gupta,north,,100
DEAL-0517,Rastogi Inc,Healthcare,Cold Outreach,217882.4,discovery,"September 18, 2022",11-21-2022,Neha Gupta,East,,20
DEAL-0536,Mander PLC,Logistics,cold outreach,25193.03,WON,04 Nov 2022,"January 02, 2023",Riya Sharma,East,,10
DEAL-0328,"Wason, Mital and Barad",Manufacturing,inbound,,Proposal Sent,02-28-2022,19/06/2022,Riya Sharma,North,Schedule Demo,100
DEAL-0435,Sama and Sons,Healthcare,Cold Outreach,115849.56,proposal sent,06-02-2022,12/07/2022,Arjun Pillai,South,Follow Up Call,100
DEAL-0405,"Hari, Prabhakar and Khurana",Manufacturing,Cold Outreach,199786.18,discovery,2022-08-04,21 Oct 2022,Karan Mehta,North,Stakeholder Meeting,40
DEAL-0383,"Mukhopadhyay, Ganesan and Chopra",FinTech,inbound,236334.46,qualified,25 Mar 2023,03 Aug 2023,Arjun Pillai,West,Pricing Discussion,90
DEAL-0341,"Srinivasan, Kadakia and Hayre",Real Estate,linkedin,8836.23,Prospecting,16 Aug 2023,01-25-2024,Sonal Joshi,north,Schedule Demo,20
DEAL-0307,Mahajan-Pant,Healthcare,Cold Email,,PROPOSAL SENT,10/03/2023,"April 05, 2023",Karan Mehta,East,Technical Eval,10
DEAL-0429,Trivedi-Bhalla,Real Estate,Partner,230534.15,wonnn,2023-03-14,09-10-2023,Arjun Pillai,north,,90
DEAL-0507,Kapoor PLC,Manufacturing,linkedin,37509.26,Prospecting,2023-03-21,"June 28, 2023",Sonal Joshi,north,Send Proposal,10
DEAL-0361,Bose PLC,Logistics,inbound,23009.14,negotiation,10-23-2023,,Riya Sharma,SOUTH,Stakeholder Meeting,30
DEAL-0216,"Radhakrishnan, Bahl and Borah",Manufacturing,Event,38180.07,closed won,2023-03-25,"July 18, 2023",Priya Nair,East India,,70
DEAL-0635,"Mammen, Menon and Grover",FinTech,REFERRAL,64433.08,closed won,06-12-2022,,Aman Verma,south,Follow Up Call,100
